team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PHI,2008,PHI,2008020039,PHI,PIT,AWAY,20081014,Team Level,other,0.2881,0.6,0.5,102,2.806,0.07,0.159,0.661,0.083,1.589,1.439,0.07,0.07,0.07,3,1,2,6,0,0,0,0,0,1,3,3,4,0,0,4,4,1,0,4,0,0,0.07,0,0,0,0,0,6,4,4,0,0.048,0,0,0.118,0.118,0.118,2.05,0.173,0.132,0.434,0.061,1.314,0.951,0.173,0.173,0.173,4,0,0,4,1,0,0,1,0,1,1,3,3,0,0,2,1,2,0,4,0,0,0.173,0,0,1,0,0,4,4,4,0,0.032,0,0,0.14,0.14,0.14
PHI,2008,PHI,2008020039,PHI,PIT,AWAY,20081014,Team Level,all,0.3086,0.4655,0.5063,3889,28.774,1.221,1.709,7.613,0.956,16.663,11.837,1.197,1.269,1.244,30,10,14,54,2,1,0,4,1,16,16,28,38,7,17,24,38,2,7,34,6,0,0.564,0.657,0,0,2,0,54.789,40,40.584,4,0.388,0.141,0.141,1.468,1.518,1.507,27.319,2.736,2.085,6.288,0.895,15.631,10.43,2.645,2.673,2.585,28,11,23,62,3,3,0,5,1,14,13,25,36,7,17,36,30,7,7,27,9,3,0.863,1.015,0.857,2,0,1,61.228,39,38.546,4,0.459,0.537,0.537,2.592,2.542,2.474
PHI,2008,PHI,2008020039,PHI,PIT,AWAY,20081014,Team Level,5on5,0.3866,0.4648,0.52,2558,18.861,1.086,1.055,5.381,0.647,10.215,7.616,1.062,1.133,1.108,19,7,7,33,2,1,0,3,1,9,10,17,24,7,17,13,28,1,4,20,6,0,0.429,0.657,0,0,2,0,33.789,26,26.584,4,0.216,0.141,0.141,1.161,1.21,1.2,17.626,1.723,1.309,4.426,0.6,9.484,6.459,1.648,1.66,1.588,16,8,14,38,1,3,0,4,0,8,8,15,23,5,13,21,23,2,5,16,6,2,0.484,0.686,0.553,0,0,1,37.228,24,23.546,4,0.27,0.537,0.537,1.455,1.406,1.356
PHI,2008,PHI,2008020039,PHI,PIT,AWAY,20081014,Team Level,4on5,0,0,0,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.036,0.524,0.525,1.251,0.193,4.384,2.123,0.508,0.524,0.508,7,2,9,18,1,0,0,0,1,5,2,6,8,1,2,6,4,2,2,6,3,0,0.194,0.33,0,1,0,0,18,9,9,0,0.128,0,0,0.652,0.652,0.633
PHI,2008,PHI,2008020039,PHI,PIT,AWAY,20081014,Team Level,5on4,0.1706,0.8824,0.8333,575,7.107,0.065,0.496,1.572,0.226,4.859,2.782,0.065,0.065,0.065,8,2,5,15,0,0,0,1,0,6,3,8,10,0,0,3,1,0,3,10,0,0,0.065,0,0,0,0,0,15,10,10,0,0.124,0,0,0.189,0.189,0.189,1.607,0.316,0.119,0.177,0.042,0.449,0.898,0.316,0.316,0.316,1,1,0,2,0,0,0,0,0,0,2,1,2,1,2,7,2,1,0,1,0,1,0.012,0,0.304,0,0,0,2,2,2,0,0.029,0,0,0.345,0.345,0.345
PHI,2008,PHI,2008020055,PHI,COL,AWAY,20081016,Team Level,other,0.3188,0.3125,0.2143,403,2.447,0.616,0.212,0.402,0.08,1.101,0.588,0.594,0.616,0.594,2,1,2,5,1,0,0,0,0,1,1,1,2,1,2,4,2,1,0,2,0,1,0.04,0,0.577,0,0,1,5,3,3,0,0.08,0,0,0.697,0.697,0.673,7.94,1.316,0.708,1.456,0.356,4.499,2.665,1.199,1.316,1.199,9,2,0,11,2,1,1,1,0,5,2,7,9,0,0,5,2,1,1,5,4,2,0.238,0.402,0.676,1,0,1,11,11,11,0,0.198,0.472,0.472,1.042,1.042,1.01
PHI,2008,PHI,2008020055,PHI,COL,AWAY,20081016,Team Level,all,0.2746,0.4253,0.3636,3600,18.564,1.324,1.339,4.04,0.774,8.947,7.575,1.302,1.324,1.302,18,6,13,37,2,2,0,1,0,4,15,16,22,12,24,20,21,13,4,20,3,1,0.384,0.364,0.577,1,0,1,36.19,24,23.659,1,0.365,0.055,0.055,1.634,1.634,1.61,30.895,3.497,2.371,6.283,1.022,17.135,11.693,3.316,3.501,3.321,34,8,8,50,5,2,1,3,1,14,17,29,37,9,16,30,17,15,10,23,16,3,0.808,1.805,0.884,1,3,1,51.174,42,42.674,3,0.577,0.661,0.661,3.412,3.417,3.34
PHI,2008,PHI,2008020055,PHI,COL,AWAY,20081016,Team Level,5on5,0.2332,0.4186,0.3333,1957,7.699,0.406,0.332,1.626,0.406,3.228,4.001,0.406,0.406,0.406,8,2,8,18,1,0,0,1,0,2,6,7,9,8,16,8,13,8,3,8,2,0,0.204,0.202,0,1,0,0,17.19,10,9.659,1,0.068,0,0,0.474,0.474,0.474,15.065,1.335,0.968,3.341,0.393,7.881,6.081,1.302,1.339,1.306,16,4,5,25,1,1,0,2,1,6,9,15,19,6,12,16,12,12,4,14,5,1,0.449,0.677,0.208,0,1,0,26.174,20,20.674,2,0.202,0.189,0.189,1.347,1.351,1.343
PHI,2008,PHI,2008020055,PHI,COL,AWAY,20081016,Team Level,4on5,0.1618,0.1429,0.0909,654,0.895,0.162,0.108,0.085,0.019,0.22,0.406,0.162,0.162,0.162,1,0,1,2,0,0,0,0,0,0,1,1,1,2,4,4,3,3,1,0,1,0,0,0.162,0,0,0,0,2,1,1,0,0.027,0,0,0.189,0.189,0.189,7.185,0.839,0.673,1.379,0.253,4.492,2.364,0.809,0.839,0.809,8,2,2,12,2,0,0,0,0,3,5,6,8,2,2,7,2,0,4,3,7,0,0.114,0.725,0,0,2,0,12,10,10,1,0.171,0,0,1.01,1.01,0.974
PHI,2008,PHI,2008020055,PHI,COL,AWAY,20081016,Team Level,5on4,0.9524,0.8571,0.9091,586,7.522,0.14,0.687,1.927,0.269,4.398,2.579,0.139,0.14,0.139,7,3,2,12,0,2,0,0,0,1,7,7,10,1,2,4,3,1,0,10,0,0,0.14,0,0,0,0,0,12,10,10,0,0.19,0.055,0.055,0.275,0.275,0.274,0.704,0.007,0.021,0.106,0.019,0.263,0.584,0.007,0.007,0.007,1,0,1,2,0,0,0,0,0,0,1,1,1,1,2,2,1,2,1,1,0,0,0.007,0,0,0,0,0,2,1,1,0,0.006,0,0,0.013,0.013,0.013
